Team ID,Team Name,Team Gender,Team Group,Team Country,Team Manager
210,Real Sociedad,male,,Spain,84
217,Barcelona,male,,Spain,227
205,Leganés,male,,Spain,681
213,Sevilla,male,,Spain,234
212,Atlético Madrid,male,,Spain,230
214,Espanyol,male,,Spain,677
209,Celta Vigo,male,,Spain,280
216,Getafe,male,,Spain,228
901,Real Valladolid,male,,Spain,576
218,Real Betis,male,,Spain,238
215,Athletic Club,male,,Spain,767
206,Deportivo Alavés,male,,Spain,187
207,Valencia,male,,Spain,211
221,Levante UD,male,,Spain,219
222,Villarreal,male,,Spain,182
211,Girona,male,,Spain,229
902,Huesca,male,,Spain,768
322,Eibar,male,,Spain,221
360,Rayo Vallecano,male,,Spain,766
220,Real Madrid,male,,Spain,25
1043,Mallorca,male,,Spain,1603
422,Osasuna,male,,Spain,1592
1049,Granada,male,,Spain,1597
552,Cádiz,male,,Spain,1598
1042,Elche,male,,Spain,509
46,Wolverhampton Wanderers,male,,England,3602
1,Arsenal,male,,England,577
39,Manchester United,male,,England,790
22,Leicester City,male,,England,2974
75,Charlton Athletic,male,,England,3407
47,Middlesbrough,male,,England,40
101,Leeds United,male,,England,3643
24,Liverpool,male,,England,
33,Chelsea,male,,England,60
98,Blackburn Rovers,male,,England,3548
59,Aston Villa,male,,England,6094
37,Newcastle United,male,,England,3404
36,Manchester City,male,,England,4202
54,Birmingham City,male,,England,37
105,Portsmouth,male,,England,749
38,Tottenham Hotspur,male,,England,3533
25,Southampton,male,,England,3722
29,Everton,male,,England,86
55,Fulham,male,,England,403
328,Bolton Wanderers,male,,England,561
