team_name,num_successful_passes_into_box
Barcelona,5463
Arsenal,1328
Sevilla,303
Real Madrid,278
Levante UD,231
Real Sociedad,228
Atlético Madrid,225
Villarreal,225
Real Valladolid,193
Real Betis,185
Valencia,171
Celta Vigo,164
Getafe,154
Athletic Club,143
Eibar,142
Deportivo Alavés,140
Osasuna,124
Huesca,121
Espanyol,120
Everton,112
Bolton Wanderers,108
Leeds United,96
Blackburn Rovers,95
Manchester United,93
Granada,90
Liverpool,88
Chelsea,86
Southampton,84
Charlton Athletic,81
Leicester City,80
Manchester City,78
Aston Villa,71
Leganés,70
Birmingham City,69
Fulham,66
Mallorca,65
Newcastle United,59
Wolverhampton Wanderers,56
Portsmouth,54
Tottenham Hotspur,53
Middlesbrough,51
Girona,48
Elche,47
Cádiz,47
Rayo Vallecano,18
